ID|Key|Raw|Name|Profile|ProfileKey|ProfileEnrichment|StatusKey|StatusEnrichment|Destination|DestinationKey|DestinationEnrichment|Notes|StartDate|EndDate|DisplayStartDate|DisplayEndDate|DurationInDays.Value|MinimumNumberOfItems.Value|Countdown.Value|TotalItems.Value|TotalItemsPacked.Value|Year|DisplayID|SequenceNumber.Value|PackingProgress.Value|TripProgress.Value|Completed.Value|StartNotified.Value|EndWarned.Value|EndNotified.Value|LastHost|PostTest
210|7838505864677354e5c9ba0a1ee3e606c7a54d765b1a06de254de0ae170742f7|matttownsend_0001|matttownsend_0001|Standard|standard|Standard profile with no special requirements|||matttownsend_0001's Destination||||0001-01-01T00:00:00Z|0001-01-01T00:00:00Z|||||||||||||||||orion-183945|"[""CREATE@2026-02-13 18:39:44"",""POSTCREATE@2026-02-13 18:39:44"",""UPDATE@13/02/26""]"
211|76004015b210d2597d1aa950ddc5ef442e79662b30914c41e9b47f017dd9bbb6|matttownsend_0001_clone|matttownsend_0001_clone|Standard|standard|Standard profile with no special requirements|||matttownsend_0001's Destination||||0001-01-01T00:00:00Z|0001-01-01T00:00:00Z||||||||||||||||||"[""CREATE@2026-02-13 18:39:44"",""POSTCREATE@2026-02-13 18:39:44""]"
212|464dfb7794e6567f91214b627931ff25be99fa560df2d928abb0444cb9acaa56|matttownsend_0002|matttownsend_0002|Standard|standard|Standard profile with no special requirements|||matttownsend_0002's Destination||||0001-01-01T00:00:00Z|0001-01-01T00:00:00Z||||||||||||||||||"[""CREATE@2026-02-13 18:39:44"",""POSTCREATE@2026-02-13 18:39:44""]"
213|315dd2b285c67e3fd126a8612d3f36079043166ffe0f2263338a0afa4e337f06|matttownsend_0002_clone|matttownsend_0002_clone|Standard|standard|Standard profile with no special requirements|||matttownsend_0002's Destination||||0001-01-01T00:00:00Z|0001-01-01T00:00:00Z||||||||||||||||||"[""CREATE@2026-02-13 18:39:44"",""POSTCREATE@2026-02-13 18:39:44""]"
214|85af2689ae8590f7534005bec2e4e74c78e615f8e741cb24cde2e4ed66458427|matttownsend_0003|matttownsend_0003|Standard|standard|Standard profile with no special requirements|||matttownsend_0003's Destination||||0001-01-01T00:00:00Z|0001-01-01T00:00:00Z||||||||||||||||||"[""CREATE@2026-02-13 18:39:44"",""POSTCREATE@2026-02-13 18:39:44""]"
215|f6f84fbfed11f3bdd8f529ea188c7309955e1e77314f8fa466b821fcbd8b8131|matttownsend_0003_clone|matttownsend_0003_clone|Standard|standard|Standard profile with no special requirements|||matttownsend_0003's Destination||||0001-01-01T00:00:00Z|0001-01-01T00:00:00Z||||||||||||||||||"[""CREATE@2026-02-13 18:39:44"",""POSTCREATE@2026-02-13 18:39:44""]"
216|56de19d8468fcbfd4dfdddf2cf0a40aface1a5863df188cbb60c016b25cc580f|matttownsend_0004|matttownsend_0004|Standard|standard|Standard profile with no special requirements|||matttownsend_0004's Destination||||0001-01-01T00:00:00Z|0001-01-01T00:00:00Z||||||||||||||||||"[""CREATE@2026-02-13 18:39:44"",""POSTCREATE@2026-02-13 18:39:44""]"
217|ffb851f024bc3017466ddb7aac0cff756cdb67d9d5653a7305a62a12090b925d|matttownsend_0004_clone|matttownsend_0004_clone|Standard|standard|Standard profile with no special requirements|||matttownsend_0004's Destination||||0001-01-01T00:00:00Z|0001-01-01T00:00:00Z||||||||||||||||||"[""CREATE@2026-02-13 18:39:44"",""POSTCREATE@2026-02-13 18:39:44""]"
218|b63414794993961d1ea84619ded8943535efb43e3c85feecb7ff8fd539870ede|matttownsend_0005|matttownsend_0005|Standard|standard|Standard profile with no special requirements|||matttownsend_0005's Destination||||0001-01-01T00:00:00Z|0001-01-01T00:00:00Z||||||||||||||||||"[""CREATE@2026-02-13 18:39:44"",""POSTCREATE@2026-02-13 18:39:45""]"
219|d948b28e4d553e62c8cc4f20c1219b6e4bb5068353b6f787a96c6dd45c7ccd4e|matttownsend_0005_clone|matttownsend_0005_clone|Standard|standard|Standard profile with no special requirements|||matttownsend_0005's Destination||||0001-01-01T00:00:00Z|0001-01-01T00:00:00Z||||||||||||||||||"[""CREATE@2026-02-13 18:39:45"",""POSTCREATE@2026-02-13 18:39:45""]"
# Exported (10/10) 39cv4wliVSEk8jOle8vdNAtIREx-TemplateStoreV6-END0-Bulk(s) to [/Volumes/External HD/Dev/GitHub/frantic-amphora/data/dumps/39cv4wliVSEk8jOle8vdNAtIREx-TemplateStoreV6-END0-Bulk.csv] at 18:39:45 2026-02-13 by 501-matttownsend on orion(*nix) in BULK mode.
